"databasehaveworkedwith_array","total_pct","professional_pct","learningtocode_pct","other_pct"
"MongoDB",0.2663,0.2607,0.3364,0.2955
"TiDB",0.0021,0.0020,0.0033,0.0036
"Redis",0.2130,0.2261,0.0616,0.1370
"Supabase",0.0289,0.0267,0.0376,0.0537
"Microsoft SQL Server",0.2656,0.2791,0.1483,0.1606
"Firebase Realtime Database",0.0673,0.0645,0.1001,0.0831
"Microsoft Access",0.0444,0.0409,0.0746,0.0704
"Cloud Firestore",0.0667,0.0643,0.0807,0.0907
"RavenDB",0.0031,0.0031,0.0027,0.0025
"Datomic",0.0033,0.0032,0.0052,0.0038
"Cassandra",0.0262,0.0273,0.0118,0.0220
"Couchbase",0.0081,0.0083,0.0042,0.0089
"Clickhouse",0.0116,0.0122,0.0052,0.0066
"DuckDB",0.0064,0.0065,0.0036,0.0068
"SQLite",0.3224,0.3158,0.3218,0.4141
"MySQL",0.4288,0.4220,0.5463,0.4405
"MariaDB",0.1838,0.1841,0.1474,0.2044
"Cosmos DB",0.0364,0.0388,0.0100,0.0211
"Oracle",0.1022,0.1055,0.0822,0.0712
"Solr",0.0162,0.0173,0.0052,0.0091
"Dynamodb",0.0926,0.1003,0.0143,0.0408
"Elasticsearch",0.1398,0.1512,0.0194,0.0651
"BigQuery",0.0471,0.0494,0.0282,0.0281
"PostgreSQL",0.4754,0.4939,0.2793,0.3557
"Firebird",0.0157,0.0159,0.0115,0.0159
"Couch DB",0.0121,0.0124,0.0070,0.0118
"Neo4J",0.0195,0.0199,0.0170,0.0156
"IBM DB2",0.0193,0.0200,0.0073,0.0178
"Snowflake",0.0248,0.0262,0.0064,0.0186
"Cockroachdb",0.0108,0.0107,0.0085,0.0137
"H2",0.0382,0.0407,0.0185,0.0182
"InfluxDB",0.0285,0.0299,0.0100,0.0222
