"language1","language2","pair_count","language1_count","language2_count","jaccard_index","lift"
"HTML/CSS","JavaScript",41117,46396,55711,0.67415969831119855714,1.3861731480198136625170625761913145734730
"JavaScript","SQL",31870,55711,42623,0.47950770341839191141,1.1695388449143742702819307461255835310333
"JavaScript","TypeScript",29947,55711,34041,0.50074408494273054092,1.3760290880259977853942003725861140819710
"HTML/CSS","SQL",27992,46396,42623,0.45868222262277352647,1.2334652854393436624950450751920346922857
"JavaScript","Python",27339,55711,43158,0.38220327135467635957,0.9908271900599572694502674801403478059301
"HTML/CSS","TypeScript",24428,46396,34041,0.43614419111214269135,1.3477912035090510824489096152498591859697
"HTML/CSS","Python",23174,46396,43158,0.34911117806568243447,1.0085018698808793970229542932479794560064
"Python","SQL",22557,43158,42623,0.35677907123877008731,1.0685468549459098654718458314634514224410
"Bash/Shell (all shells)","JavaScript",19381,28351,55711,0.29963977056631777493,1.0692626604145256469891218934311215541304
"SQL","TypeScript",18919,42623,34041,0.32763009784396917482,1.1362382604680343186044964360181979267719
"Java","JavaScript",18830,26757,55711,0.29589239133850843835,1.1007520500190081337859552379561580805670
"Bash/Shell (all shells)","Python",18545,28351,43158,0.35014349369382977117,1.3207320003275196310269417237590195995926
"Bash/Shell (all shells)","HTML/CSS",17004,28351,46396,0.29447725265400135081,1.1264702593909720190097371474110614217114
"C#","JavaScript",16957,24193,55711,0.26938535593435747534,1.0963163633028922222677611714344041330110
"Bash/Shell (all shells)","SQL",16344,28351,42623,0.29917627677100494234,1.1785920659047302442741828731660611226580
"Python","TypeScript",15996,43158,34041,0.26135973726778099113,0.9487795837726664470343723875265200512236
"Java","SQL",15538,26757,42623,0.28858511942349838416,1.1872200979852219063958047915019340207546
"HTML/CSS","Java",15386,46396,26757,0.26634583758893485900,1.0800039037946042873434061234552459177650
"C#","SQL",15048,24193,42623,0.29068150208623087622,1.2716353685582381650562216559415370437395
"Java","Python",14967,26757,43158,0.27238480017471063551,1.1294150872067680131585957649245723777078
"C#","HTML/CSS",14834,24193,46396,0.26605685588736436194,1.1516103650299287520661363847970643006592
"JavaScript","PHP",14299,55711,16274,0.24787643449017092535,1.3743202829163611864601012804958732471817
"C++","Python",13363,19634,43158,0.27034736693034453458,1.3742046908256583687265095190856716026577
"HTML/CSS","PHP",12870,46396,16274,0.25843373493975903614,1.4853241799152018451137073096667429433348
"Bash/Shell (all shells)","TypeScript",12151,28351,34041,0.24185426245496705878,1.0971320065790195251012679719888315341302
"C++","JavaScript",11880,19634,55711,0.18718978964783739069,0.9464207544966681442551981319415242696576
"C","Python",11867,16940,43158,0.24604507474445895793,1.4144375629089302736878918195621127218442
"PHP","SQL",11779,16274,42623,0.24998938834415722229,1.4797476251822501997590667706086640513500
"Java","TypeScript",11385,26757,34041,0.23040495416186023921,1.0892080999295155572804707301785039310060
"C","C++",11340,16940,19634,0.44939367520012681303,2.9710394432999931809960165361626139194910
"C#","TypeScript",11186,24193,34041,0.23775718415235504166,1.1835874064992755367957723577199603986543
"C#","Python",10614,24193,43158,0.18707369088954297901,0.8858202472747869703245814111062617992984
"C","JavaScript",10573,16940,55711,0.17031798704855182190,0.9762508562435457891304454746240431882958
"Bash/Shell (all shells)","Java",10312,28351,26757,0.23019912492186802393,1.1845534428097448723843512628811885435485
"C++","HTML/CSS",10302,19634,46396,0.18486218776916451335,0.9854844472890011005032610078920655265925
"C","HTML/CSS",9366,16940,46396,0.17354085603112840467,1.0384312839736112902568944798381914602595
"C++","SQL",9013,19634,42623,0.16927728945984524078,0.9384996736526947467091282609009318054244
"C","SQL",8306,16940,42623,0.16204615954893965702,1.0024253995264098644230958392681329452056
"Bash/Shell (all shells)","C++",8169,28351,19634,0.20516877637130801688,1.2788195973188112160473838775455054484202
"C++","Java",8160,19634,26757,0.21343935549684810756,1.3535101255315587277471334622634310139332
"Bash/Shell (all shells)","C",8139,28351,16940,0.21907299741602067183,1.4767494442766438944393788280416825896048
"PHP","Python",7893,16274,43158,0.15314616115951027377,0.9792735761819423493201745890484021443436
"C","Java",7639,16940,26757,0.21185312551999556270,1.4685990434086938995114624669830223480100
"C#","Java",7553,24193,26757,0.17404428877572182409,1.0167399685312377239842985759119055037784
"PHP","TypeScript",7122,16274,34041,0.16488782904637325493,1.1202705098472348352762022133991981528123
"C#","C++",7009,24193,19634,0.19036884132761149438,1.2858049800288359691859414246179111212948
"Bash/Shell (all shells)","C#",6876,28351,24193,0.15056494700884645704,0.8735651826315533787899992139437778615902
"C++","TypeScript",6459,19634,34041,0.13679684852592341579,0.8421156606275560120283304108118864569845
"Bash/Shell (all shells)","PHP",5955,28351,16274,0.15399534522885958107,1.1246998255297764071063602912206863587396
"Java","PHP",5845,26757,16274,0.15718281073522293336,1.1696888251047119972873710144907393450438
"C","TypeScript",5614,16940,34041,0.12374633544206141028,0.8483484063092610005481220320474883310614
"C","C#",5425,16940,24193,0.15192673910608267055,1.1534908840853836213247158211876840770876
"C#","PHP",4670,24193,16274,0.13045785959717294745,1.0335949983470609726042101142773194156705
"C++","PHP",4190,19634,16274,0.13210164575320007567,1.1426901407218236032089306043333991579558
"C","PHP",3957,16940,16274,0.13524968383634685716,1.2507654846410474462205753150141228559803
