"language1","language2","count"
"HTML/CSS","JavaScript",41117
"JavaScript","SQL",31870
"JavaScript","TypeScript",29947
"HTML/CSS","SQL",27992
"JavaScript","Python",27339
"HTML/CSS","TypeScript",24428
"HTML/CSS","Python",23174
"Python","SQL",22557
"Bash/Shell (all shells)","JavaScript",19381
"SQL","TypeScript",18919
"Java","JavaScript",18830
"Bash/Shell (all shells)","Python",18545
"Bash/Shell (all shells)","HTML/CSS",17004
"C#","JavaScript",16957
"Bash/Shell (all shells)","SQL",16344
"Python","TypeScript",15996
"Java","SQL",15538
"HTML/CSS","Java",15386
"C#","SQL",15048
"Java","Python",14967
"C#","HTML/CSS",14834
"JavaScript","PHP",14299
"C++","Python",13363
"HTML/CSS","PHP",12870
"Bash/Shell (all shells)","TypeScript",12151
"C++","JavaScript",11880
"C","Python",11867
"PHP","SQL",11779
"Java","TypeScript",11385
"C","C++",11340
"C#","TypeScript",11186
"C#","Python",10614
"C","JavaScript",10573
"Bash/Shell (all shells)","Java",10312
"C++","HTML/CSS",10302
"C","HTML/CSS",9366
"JavaScript","PowerShell",9162
"C++","SQL",9013
"PowerShell","SQL",8601
"HTML/CSS","PowerShell",8409
"C","SQL",8306
"Bash/Shell (all shells)","C++",8169
"C++","Java",8160
"Bash/Shell (all shells)","C",8139
"Go","JavaScript",8042
"PHP","Python",7893
"C","Java",7639
"C#","Java",7553
"Python","Rust",7549
"Go","Python",7401
"JavaScript","Rust",7323
"PHP","TypeScript",7122
"C#","PowerShell",7036
"C#","C++",7009
"Bash/Shell (all shells)","C#",6876
"PowerShell","Python",6836
"C++","TypeScript",6459
"Go","SQL",6375
"Go","HTML/CSS",6185
"Bash/Shell (all shells)","PowerShell",6157
"Go","TypeScript",6000
"PowerShell","TypeScript",5985
"HTML/CSS","Rust",5963
"Bash/Shell (all shells)","PHP",5955
"Rust","TypeScript",5947
"Bash/Shell (all shells)","Go",5909
"Java","PHP",5845
"C","TypeScript",5614
"Java","Kotlin",5553
"C","C#",5425
"Bash/Shell (all shells)","Rust",5424
"JavaScript","Kotlin",5243
"Rust","SQL",5215
"C#","PHP",4670
"Go","Java",4402
"Kotlin","Python",4283
"C++","Rust",4269
"C","Rust",4253
"Java","PowerShell",4252
"HTML/CSS","Kotlin",4242
"JavaScript","Ruby",4227
"C++","PHP",4190
"Kotlin","SQL",4173
"C","PHP",3957
"JavaScript","Lua",3954
"Java","Rust",3949
"Kotlin","TypeScript",3926
"Dart","JavaScript",3894
"Assembly","C",3828
"Lua","Python",3768
"HTML/CSS","Lua",3473
"Assembly","Python",3471
"C++","PowerShell",3467
"HTML/CSS","Ruby",3430
"Go","Rust",3339
"Assembly","C++",3322
"Dart","HTML/CSS",3305
"Ruby","SQL",3252
"C++","Go",3173
"Assembly","JavaScript",3169
"C","Go",3153
"Assembly","Bash/Shell (all shells)",3130
"Python","R",3102
"Bash/Shell (all shells)","Kotlin",3074
"Bash/Shell (all shells)","Lua",3063
"Dart","Python",2971
"PHP","PowerShell",2941
"C","PowerShell",2910
"C#","Rust",2903
"Assembly","HTML/CSS",2865
"Dart","SQL",2852
"Lua","SQL",2828
"SQL","Visual Basic (.Net)",2793
"MATLAB","Python",2778
"Python","Ruby",2749
"JavaScript","Visual Basic (.Net)",2741
"Dart","TypeScript",2734
"Lua","TypeScript",2722
"C#","Visual Basic (.Net)",2682
"JavaScript","Swift",2679
"C#","Go",2669
"HTML/CSS","Visual Basic (.Net)",2575
"Assembly","SQL",2570
"Bash/Shell (all shells)","Ruby",2562
"Ruby","TypeScript",2529
"Dart","Java",2460
"Assembly","Java",2444
"R","SQL",2437
"Go","PHP",2432
"SQL","VBA",2385
"C#","Kotlin",2291
"C","Lua",2289
"Groovy","Java",2248
"C++","Lua",2245
"C++","Kotlin",2232
"HTML/CSS","Swift",2199
"JavaScript","R",2127
"JavaScript","VBA",2123
"Java","Lua",2115
"Groovy","JavaScript",2074
"JavaScript","MATLAB",2063
"HTML/CSS","VBA",2016
"Lua","Rust",2011
"C++","MATLAB",2005
"Python","Swift",1999
"HTML/CSS","R",1989
"C","Kotlin",1975
"HTML/CSS","MATLAB",1927
"C","MATLAB",1926
"Groovy","SQL",1833
"Bash/Shell (all shells)","Groovy",1831
"SQL","Swift",1826
"MATLAB","SQL",1825
"Swift","TypeScript",1809
"Groovy","Python",1798
"C#","Dart",1780
"C#","Lua",1776
"Python","VBA",1772
"Assembly","C#",1752
"Delphi","SQL",1739
"Bash/Shell (all shells)","Dart",1726
"Python","Visual Basic (.Net)",1712
"Go","PowerShell",1710
"Assembly","TypeScript",1696
"PHP","Rust",1696
"Kotlin","PHP",1693
"Go","Kotlin",1691
"Java","Swift",1677
"Java","Ruby",1673
"Bash/Shell (all shells)","R",1662
"Groovy","HTML/CSS",1657
"C++","Dart",1633
"Kotlin","Rust",1631
"Java","MATLAB",1626
"PowerShell","Rust",1618
"C#","VBA",1609
"Go","Lua",1560
"Java","Visual Basic (.Net)",1560
"Python","Scala",1504
"C","Dart",1497
"Java","Scala",1491
"Bash/Shell (all shells)","MATLAB",1486
"JavaScript","Perl",1483
"Perl","SQL",1479
"Bash/Shell (all shells)","Swift",1475
"Perl","Python",1464
"Dart","PHP",1455
"Assembly","Rust",1453
"Java","R",1444
"JavaScript","Objective-C",1431
"Dart","Kotlin",1428
"Bash/Shell (all shells)","Perl",1423
"TypeScript","Visual Basic (.Net)",1396
"Elixir","JavaScript",1381
"Groovy","TypeScript",1362
"Go","Ruby",1361
"Scala","SQL",1359
"C++","Visual Basic (.Net)",1352
"Haskell","Python",1351
"PHP","Visual Basic (.Net)",1348
"PowerShell","Visual Basic (.Net)",1347
"Kotlin","Swift",1316
"Assembly","PHP",1308
"JavaScript","Scala",1302
"C++","R",1295
"Delphi","JavaScript",1288
"HTML/CSS","Perl",1288
