"platformhaveworkedwith_array","total_pct","professional_pct","learningtocode_pct","other_pct"
"Vercel",0.1168,0.1088,0.1946,0.1849
"Vultr",0.0213,0.0202,0.0220,0.0381
"Google Cloud",0.2608,0.2605,0.2606,0.2650
"Scaleway",0.0099,0.0101,0.0068,0.0084
"Digital Ocean",0.1461,0.1485,0.0987,0.1413
"OVH",0.0374,0.0368,0.0304,0.0501
"Microsoft Azure",0.2845,0.2967,0.1479,0.1916
"Linode, now Akamai",0.0433,0.0416,0.0500,0.0642
"Colocation",0.0078,0.0078,0.0080,0.0076
"Amazon Web Services (AWS)",0.5315,0.5563,0.2614,0.3376
"Hetzner",0.0482,0.0486,0.0268,0.0572
"Netlify",0.0979,0.0910,0.1990,0.1342
"Heroku",0.1314,0.1251,0.1966,0.1820
"IBM Cloud Or Watson",0.0126,0.0120,0.0212,0.0162
"Firebase",0.1691,0.1622,0.2510,0.2188
"VMware",0.0780,0.0755,0.1047,0.0990
"OpenShift",0.0263,0.0276,0.0088,0.0183
"Fly.io",0.0259,0.0254,0.0288,0.0324
"OpenStack",0.0169,0.0167,0.0212,0.0172
"Managed Hosting",0.0374,0.0377,0.0252,0.0407
"Oracle Cloud Infrastructure (OCI)",0.0284,0.0254,0.0492,0.0603
"Cloudflare",0.1666,0.1606,0.1679,0.2546
"Render",0.0202,0.0177,0.0528,0.0371
